1651 1 22 0 0.333 0.5 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 921954634798 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 1042286916150 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 797406264126 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 434897411011 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 890544754372 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.75 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 1.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 3.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.667 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 1.0 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.5 0 -1
1651 1 22 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.75 0 -1
1651 1 8 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 15 0 0.333 2.0 -1 927489560528 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 10.0 0.25 0 -1
1651 1 22 0 0.333 0.25 -1 115569731670 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
1651 1 22 0 0.333 0.5 -1 115569731670 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments6 0.333 1.3 0.0 0.25 0 -1
